complaint_id,ward,category,priority,status,date,latitude,longitude,rainfall,traffic,population,department
CMP-000001,Ward-22,Traffic Signal Fault,Low,Open,2025-07-03,13.047808,77.557172,65.4,102.1,16504,Roads & Infrastructure
CMP-000002,Ward-4,Stray Animals,Medium,Open,2024-04-05,12.973333,77.617371,60.6,78.6,51463,Electrical
CMP-000003,Ward-1,Water Logging,Low,Closed,2025-04-10,12.937533,77.411435,34.7,16.7,111530,General Administration
CMP-000004,Ward-38,Power Outage,Low,In Progress,2024-02-21,12.924547,77.472956,57.7,46.0,27363,Roads & Infrastructure
CMP-000005,Ward-16,Streetlight Outage,Critical,Resolved,2025-08-15,12.872239,77.422245,24.3,79.2,109098,Traffic Police
CMP-000006,Ward-16,Garbage Collection,Low,Resolved,2025-04-13,12.866673,77.424894,105.7,75.6,109098,Roads & Infrastructure
CMP-000007,Ward-23,Public Nuisance,High,In Progress,2024-06-10,12.952849,77.43523,32.3,147.7,115741,Water Board
CMP-000008,Ward-7,Air Pollution,Low,Open,2024-04-19,12.783863,77.647357,50.1,96.4,110647,Traffic Police
CMP-000009,Ward-32,Garbage Collection,High,Open,2025-10-11,12.875413,77.459073,100.2,74.2,41365,Urban Planning
CMP-000010,Ward-36,Water Supply,Low,Closed,2024-06-01,12.771132,77.416116,30.4,55.0,51500,Sanitation
CMP-000011,Ward-3,Public Nuisance,Low,In Progress,2024-04-15,12.756013,77.466789,102.4,10.5,41062,Sanitation
CMP-000012,Ward-12,Public Nuisance,Low,Resolved,2024-12-06,12.866702,77.461086,22.0,40.6,99939,Electrical
CMP-000013,Ward-3,Public Nuisance,Low,Closed,2025-04-16,12.755932,77.472002,63.3,28.0,41062,Electrical
CMP-000014,Ward-18,Garbage Collection,Medium,Resolved,2026-05-13,12.793585,77.450674,127.3,102.7,112912,Sanitation
CMP-000015,Ward-39,Streetlight Outage,High,In Progress,2025-09-12,12.788764,77.521628,,50.5,110561,Water Board
CMP-000016,Ward-35,Power Outage,Critical,Resolved,2024-07-20,12.816318,77.457464,22.5,48.8,45007,Traffic Police
CMP-000017,Ward-33,Garbage Collection,Medium,Resolved,2024-10-29,12.964973,77.513535,41.4,37.2,82839,Sanitation
CMP-000018,Ward-1,Garbage Collection,Low,Closed,2025-09-13,12.944922,77.406803,25.2,49.3,111530,General Administration
CMP-000019,Ward-6,Garbage Collection,Medium,Resolved,2024-04-05,12.839729,77.469617,50.0,29.8,64797,Electrical
CMP-000020,Ward-40,Traffic Signal Fault,Low,Resolved,2025-10-06,12.767764,77.600404,32.6,45.2,110448,Sanitation
CMP-000021,Ward-7,Tree Fall,Low,Closed,2025-12-13,12.779374,77.645252,54.5,132.1,110647,General Administration
CMP-000022,Ward-36,Noise Pollution,Critical,Closed,2025-09-19,12.77652,77.417264,0,82.8,51500,General Administration
CMP-000023,Ward-17,Tree Fall,High,In Progress,2026-03-07,12.844829,77.599167,43.3,95.3,75142,Urban Planning
CMP-000024,Ward-6,Road Damage,Low,Resolved,2025-12-24,12.82764,77.462891,42.8,52.4,64797,Water Board
CMP-000025,Ward-38,Air Pollution,Low,Closed,2025-08-12,12.920471,77.463017,21.5,82.4,27363,Parks & Environment
CMP-000026,Ward-15,Sewage Overflow,Low,Resolved,2025-02-02,12.844008,77.634077,21.4,87.9,56347,General Administration
CMP-000027,Ward-26,Noise Pollution,Medium,Open,2025-03-14,13.00387,77.488767,84.5,73.8,35032,Electrical
CMP-000028,Ward-18,Tree Fall,High,In Progress,2024-03-24,12.792267,77.446869,139.0,80.7,112912,Electrical
CMP-000029,Ward-2,Air Pollution,Low,Open,2024-06-05,12.77552,77.621671,103.9,103.6,19165,General Administration
